Flight,Time,Length,Airline,AirportFrom,AirportTo,DayOfWeek
683.0,435.0,263.0,CO,BOS,IAH,3
801.0,935.0,290.0,WN,BOS,DEN,6
502.0,390.0,159.0,AS,SEA,SNA,2
2449.0,435.0,255.0,DL,BNA,SLC,2
2553.0,430.0,90.0,WN,SAN,RNO,5
1352.0,535.0,55.0,AA,DFW,OKC,1
6726.0,800.0,105.0,OH,CLT,CVG,2
547.0,611.0,241.0,UA,ORD,LAS,5
2725.0,560.0,182.0,XE,CLE,DFW,3
1920.0,460.0,80.0,AA,LAX,SFO,6
7329.0,782.0,68.0,EV,TYS,ATL,7
197.0,1200.0,33.0,HA,OGG,HNL,3
590.0,790.0,90.0,WN,LAS,OAK,1
206.0,885.0,85.0,WN,OAK,SAN,2
4230.0,630.0,85.0,9E,DTW,BGM,3
127.0,655.0,67.0,US,PHX,LAS,4
1979.0,684.0,111.0,DL,SLC,SMF,5
650.0,830.0,154.0,AS,PDX,PHX,3
5286.0,415.0,108.0,EV,LIT,ATL,5
936.0,1145.0,115.0,WN,ELP,LAS,5
1278.0,1100.0,124.0,US,MCO,DCA,7
2895.0,1206.0,107.0,YV,DRO,PHX,5
732.0,1135.0,193.0,CO,IAH,LGA,3
2411.0,1020.0,110.0,XE,CLE,ATL,4
2543.0,730.0,124.0,XE,SAV,EWR,6
6312.0,915.0,70.0,OH,CVG,PIT,7
2559.0,565.0,53.0,XE,IAH,LFT,6
2821.0,640.0,150.0,WN,PHX,HOU,2
702.0,905.0,120.0,WN,STL,MSY,3
7293.0,737.0,81.0,YV,IAD,LGA,7
2868.0,995.0,140.0,MQ,MLI,DFW,3
1765.0,475.0,230.0,AA,IAD,SJU,4
7131.0,562.0,121.0,EV,ORD,ORF,4
2253.0,570.0,190.0,AA,ORD,JAC,1
6662.0,1058.0,37.0,OO,MRY,SFO,6
1021.0,1230.0,75.0,B6,BOS,JFK,7
2165.0,803.0,72.0,XE,BRO,IAH,5
2088.0,660.0,180.0,AA,MIA,LGA,4
348.0,1036.0,131.0,FL,SRQ,BWI,3
945.0,716.0,274.0,UA,ORD,LAX,5
144.0,1325.0,114.0,FL,ATL,DTW,4
2459.0,1129.0,153.0,DL,ATL,OMA,4
5264.0,869.0,91.0,EV,FAY,ATL,2
2114.0,945.0,142.0,XE,ORD,EWR,7
1098.0,715.0,155.0,WN,MCO,BUF,4
277.0,945.0,350.0,AA,MIA,LAX,6
5186.0,1020.0,63.0,EV,HSV,MEM,3
6737.0,1290.0,148.0,OO,DEN,FAT,2
1023.0,590.0,174.0,US,PHL,TPA,3
1592.0,715.0,190.0,WN,BUF,FLL,1
3098.0,625.0,90.0,XE,GSO,EWR,1
327.0,886.0,192.0,B6,BDL,FLL,3
6972.0,549.0,52.0,OO,BFL,LAX,7
1233.0,510.0,110.0,DL,ATL,MSY,1
7071.0,408.0,98.0,EV,ORD,SYR,1
2050.0,775.0,70.0,WN,DAL,MAF,6
234.0,385.0,107.0,FL,RIC,ATL,2
1823.0,900.0,60.0,WN,STL,MDW,6
7071.0,566.0,83.0,EV,CAE,IAD,3
4531.0,1200.0,115.0,MQ,DCA,BNA,7
1905.0,845.0,161.0,DL,DTW,MCO,4
273.0,520.0,180.0,FL,BOS,ATL,5
1461.0,685.0,175.0,DL,RSW,DTW,2
1646.0,625.0,144.0,CO,IAH,ORD,6
6892.0,1078.0,153.0,OO,SEA,LAX,7
321.0,575.0,125.0,AS,SJC,SEA,7
2261.0,975.0,115.0,DL,RDU,DTW,3
555.0,1130.0,195.0,B6,EWR,RSW,6
6357.0,1305.0,46.0,OO,DEN,EGE,7
2922.0,1050.0,95.0,MQ,BRO,DFW,7
6743.0,1033.0,130.0,OO,SNA,DEN,4
3992.0,480.0,85.0,9E,LEX,MEM,5
1583.0,405.0,113.0,US,PHL,CLT,3
31.0,840.0,60.0,WN,DAL,HOU,4
2348.0,480.0,67.0,DL,BHM,ATL,5
1425.0,500.0,265.0,AA,ORD,SNA,5
4215.0,930.0,105.0,MQ,BNA,ORD,4
1543.0,1045.0,65.0,WN,BWI,BDL,6
4774.0,515.0,108.0,OO,ABQ,SLC,3
3372.0,360.0,90.0,MQ,BTR,DFW,1
1406.0,540.0,95.0,AA,DFW,HSV,4
1006.0,660.0,127.0,CO,IAH,TPA,1
372.0,585.0,165.0,B6,FLL,LGA,3
4086.0,975.0,95.0,9E,ATW,DTW,3
1862.0,1065.0,185.0,WN,PVD,MCO,1
374.0,697.0,186.0,CO,SAN,IAH,2
1213.0,936.0,143.0,DL,ROC,ATL,7
720.0,890.0,123.0,US,MIA,CLT,4
5516.0,810.0,130.0,EV,ATL,TUL,7
218.0,1090.0,80.0,WN,MAF,HOU,4
2719.0,505.0,167.0,YV,AUS,PHX,5
3094.0,852.0,80.0,OO,MKE,OMA,2
4398.0,1070.0,83.0,9E,TYS,MEM,6
386.0,535.0,120.0,AA,ORD,LGA,2
2730.0,1020.0,74.0,XE,DCA,EWR,4
719.0,1095.0,93.0,US,PHL,BOS,3
1376.0,970.0,200.0,AA,MIA,DFW,4
5227.0,1140.0,70.0,EV,ATL,ECP,1
2866.0,645.0,170.0,XE,MKE,IAH,6
3931.0,388.0,102.0,9E,MBS,MSP,1
2825.0,1095.0,157.0,XE,EWR,BNA,3
1980.0,930.0,65.0,WN,LAX,SJC,1
927.0,1168.0,264.0,UA,STL,SFO,2
2375.0,505.0,180.0,AA,ORD,EGE,2
2941.0,935.0,100.0,MQ,DFW,PNS,6
642.0,625.0,128.0,FL,ATL,MKE,4
1406.0,540.0,95.0,AA,DFW,HSV,7
4664.0,535.0,95.0,MQ,CLE,LGA,5
4022.0,980.0,90.0,9E,ECP,MEM,3
3048.0,1240.0,45.0,MQ,LAX,SAN,1
610.0,755.0,148.0,AS,SEA,LAS,4
41.0,420.0,78.0,AS,ANC,BET,1
4584.0,1185.0,130.0,MQ,LGA,CLT,7
7346.0,1070.0,60.0,EV,ATL,GSP,5
326.0,395.0,60.0,WN,LAX,LAS,1
575.0,815.0,154.0,AS,SAN,PDX,1
2293.0,750.0,155.0,WN,LAS,TUL,7
380.0,370.0,155.0,WN,SFO,DEN,3
1461.0,605.0,240.0,AA,DFW,SFO,5
831.0,380.0,135.0,WN,PHL,MDW,2
32.0,360.0,146.0,UA,PDX,DEN,5
555.0,1235.0,33.0,HA,OGG,HNL,6
517.0,620.0,96.0,FL,ATL,CMH,2
1842.0,825.0,64.0,US,PHL,PVD,3
2466.0,1130.0,84.0,XE,MAF,IAH,7
1503.0,1135.0,180.0,WN,IND,DEN,1
1241.0,1070.0,145.0,WN,AUS,DEN,5
1260.0,1335.0,160.0,AA,MIA,LGA,7
783.0,1060.0,263.0,UA,IAD,ABQ,3
339.0,475.0,125.0,WN,SEA,OAK,4
2379.0,870.0,150.0,WN,TPA,STL,3
1567.0,1140.0,293.0,DL,ATL,SAN,2
6231.0,795.0,36.0,OO,PDX,EUG,4
716.0,390.0,165.0,WN,PVD,MDW,4
152.0,895.0,86.0,AS,OTZ,ANC,5
828.0,450.0,255.0,AA,SJC,ORD,1
198.0,1377.0,311.0,UA,SFO,IAD,6
2991.0,742.0,82.0,XE,LIT,IAH,7
1820.0,725.0,65.0,AA,IAH,DFW,1
2321.0,705.0,159.0,XE,CVG,IAH,4
470.0,445.0,234.0,CO,EWR,SJU,1
826.0,795.0,140.0,WN,LAS,PDX,1
1339.0,930.0,70.0,WN,BUR,OAK,3
1818.0,570.0,92.0,DL,MCO,ATL,4
909.0,1230.0,115.0,WN,DEN,TUS,3
15.0,815.0,655.0,CO,EWR,HNL,5
231.0,420.0,117.0,B6,SLC,LGB,2
303.0,490.0,60.0,WN,STL,MDW,4
1153.0,1055.0,185.0,DL,DTW,FLL,5
5151.0,782.0,61.0,EV,ATL,TRI,6
6639.0,1006.0,104.0,OO,BZN,DEN,4
6272.0,835.0,55.0,OH,EVV,CVG,1
46.0,1130.0,110.0,WN,DAL,ABQ,4
735.0,930.0,165.0,UA,DEN,SFO,1
1174.0,830.0,255.0,AA,SJC,ORD,4
3.0,715.0,375.0,AA,JFK,LAX,7
1416.0,835.0,298.0,US,LAX,PHL,2
524.0,1167.0,147.0,AS,SEA,BUR,4
755.0,860.0,105.0,WN,STL,DAL,3
588.0,1100.0,171.0,B6,FLL,HPN,1
1752.0,1010.0,55.0,WN,DAL,AUS,5
1766.0,890.0,80.0,US,CLT,DCA,7
867.0,1165.0,160.0,AA,ORD,DEN,2
5217.0,808.0,82.0,EV,ATL,JAN,6
153.0,905.0,95.0,WN,IND,BWI,5
434.0,925.0,60.0,AA,DFW,TUL,1
526.0,900.0,171.0,US,MCI,PHX,7
251.0,1325.0,112.0,FL,ATL,FNT,7
711.0,615.0,344.0,B6,JFK,LAS,7
1446.0,500.0,210.0,DL,PHX,ATL,3
2.0,475.0,75.0,WN,DAL,MAF,4
848.0,940.0,75.0,WN,LAX,TUS,3
284.0,960.0,310.0,AA,HNL,LAX,6
1540.0,980.0,130.0,AA,TUS,DFW,5
5204.0,603.0,107.0,EV,SGF,ATL,2
4677.0,690.0,116.0,OO,SLC,BUR,7
2720.0,1112.0,104.0,XE,ICT,IAH,1
2982.0,895.0,125.0,DL,MEM,DCA,2
1629.0,770.0,80.0,WN,BUR,PHX,5
598.0,1175.0,150.0,AA,DFW,RDU,5
1794.0,770.0,60.0,AA,DFW,AUS,4
28.0,860.0,85.0,WN,DAL,MCI,1
42.0,1070.0,65.0,WN,DAL,LBB,3
2495.0,748.0,103.0,DL,ATL,STL,5
283.0,625.0,365.0,AA,LAX,HNL,3
319.0,600.0,170.0,AA,LGA,ORD,2
540.0,650.0,270.0,FL,ATL,PHX,4
452.0,490.0,55.0,WN,DAL,AUS,3
2984.0,680.0,68.0,DL,MSP,MKE,5
192.0,550.0,170.0,CO,EWR,MCO,1
6722.0,608.0,158.0,OO,DEN,TYS,1
862.0,669.0,156.0,UA,SFO,DEN,7
2181.0,655.0,140.0,XE,ATL,IAH,2
3696.0,870.0,80.0,MQ,ORF,JFK,7
2415.0,540.0,152.0,XE,CLE,MSY,5
2771.0,1075.0,133.0,XE,IAH,OMA,7
7043.0,961.0,97.0,OO,MOT,DEN,6
691.0,1083.0,165.0,UA,LGA,ORD,3
140.0,1250.0,363.0,US,PHX,ANC,3
585.0,520.0,270.0,WN,BDL,DEN,4
562.0,610.0,107.0,FL,ATL,BMI,4
65.0,698.0,42.0,AS,PSG,JNU,1
1292.0,885.0,75.0,AA,DFW,MSY,4
2395.0,695.0,176.0,DL,PBI,LGA,6
4961.0,999.0,80.0,EV,FLO,ATL,7
5947.0,424.0,136.0,XE,ABE,ORD,1
5582.0,788.0,75.0,EV,MOB,ATL,6
6610.0,1018.0,57.0,OO,GJT,DEN,2
967.0,575.0,85.0,WN,MSY,BNA,2
3751.0,505.0,63.0,9E,GRR,DTW,7
405.0,590.0,378.0,B6,BOS,SAN,5
2071.0,640.0,125.0,WN,MCO,BWI,6
312.0,890.0,145.0,AA,DFW,RSW,3
1244.0,375.0,130.0,DL,HOU,ATL,6
6524.0,960.0,103.0,OO,SFO,PDX,1
4629.0,375.0,90.0,MQ,RDU,LGA,7
1002.0,365.0,125.0,AA,DEN,DFW,6
1496.0,780.0,168.0,DL,MSP,LGA,4
442.0,1200.0,120.0,WN,MDW,PHL,4
1330.0,425.0,85.0,WN,PDX,SMF,3
3.0,1065.0,357.0,AS,DCA,SEA,5
4976.0,505.0,76.0,EV,ATL,BNA,3
6305.0,1101.0,47.0,OO,PSP,LAX,4
6680.0,1142.0,108.0,OO,BOI,DEN,3
401.0,1150.0,180.0,WN,PHL,FLL,3
90.0,475.0,152.0,US,PHL,ORD,3
2980.0,810.0,118.0,XE,IAH,TYS,4
5406.0,959.0,93.0,EV,CVG,DCA,4
2611.0,830.0,97.0,YV,CLE,CLT,7
2827.0,510.0,145.0,MQ,DFW,CHS,7
122.0,462.0,50.0,HA,HNL,ITO,6
1150.0,770.0,168.0,B6,MCO,PWM,4
6527.0,830.0,148.0,OO,COS,ORD,1
6758.0,910.0,98.0,OH,DTW,TYS,5
51.0,1045.0,70.0,WN,LIT,DAL,2
981.0,770.0,140.0,WN,GEG,LAS,3
5551.0,645.0,86.0,EV,ATL,SDF,5
1118.0,1055.0,120.0,WN,HOU,ELP,5
5890.0,635.0,87.0,XE,CLE,ORD,1
15.0,815.0,655.0,CO,EWR,HNL,6
4661.0,520.0,109.0,OO,SLC,ONT,2
212.0,1085.0,143.0,UA,DEN,IAH,4
596.0,989.0,151.0,B6,MCO,HPN,2
2187.0,1140.0,77.0,US,LGA,DCA,5
4480.0,405.0,80.0,OO,GFK,MSP,6
6369.0,1205.0,207.0,OO,ORD,SLC,2
5422.0,940.0,130.0,EV,DEN,MEM,4
428.0,840.0,70.0,AA,IAH,DFW,5
4857.0,1130.0,130.0,OO,LEX,MSP,6
7133.0,806.0,39.0,EV,ORD,SBN,4
6729.0,1171.0,100.0,OO,DEN,XNA,4
6616.0,954.0,48.0,OO,ASE,DEN,2
765.0,1230.0,115.0,WN,MDW,RDU,5
5005.0,990.0,93.0,EV,VPS,MEM,3
1040.0,535.0,96.0,US,BWI,CLT,2
6618.0,723.0,111.0,OO,DEN,PHX,3
6294.0,1059.0,63.0,OO,DRO,DEN,4
1132.0,920.0,70.0,CO,EWR,BOS,4
2001.0,1200.0,85.0,WN,ELP,AUS,4
1247.0,1170.0,143.0,B6,BOS,CLT,4
4762.0,390.0,103.0,OO,PSP,SLC,4
2206.0,1040.0,160.0,AA,DFW,IAD,4
6259.0,1150.0,105.0,OO,ORD,BHM,4
2630.0,1165.0,133.0,XE,IAH,CAE,6
7313.0,870.0,78.0,EV,MEM,SHV,3
6862.0,964.0,85.0,OO,SFO,SNA,2
6285.0,360.0,155.0,OO,MFR,DEN,3
3072.0,645.0,74.0,OO,MKE,STL,7
5169.0,500.0,221.0,EV,ATL,ELP,2
1448.0,625.0,142.0,CO,IAH,FLL,7
3099.0,349.0,81.0,OO,OMA,MKE,3
1160.0,1020.0,193.0,DL,SLC,IND,6
2041.0,885.0,135.0,XE,MKE,EWR,4
1541.0,1190.0,130.0,AA,RDU,MIA,3
6259.0,450.0,40.0,OO,LAX,SBA,4
4138.0,1180.0,105.0,MQ,PIT,ORD,2
237.0,515.0,130.0,WN,MDW,PVD,7
1026.0,732.0,125.0,DL,DTW,ATL,5
5135.0,905.0,72.0,EV,ATL,ECP,5
515.0,1040.0,70.0,WN,SAN,PHX,5
3399.0,790.0,125.0,MQ,DFW,LEX,3
945.0,715.0,275.0,UA,ORD,LAX,2
1826.0,1265.0,78.0,US,PHL,MHT,5
5331.0,710.0,132.0,EV,CLE,MEM,7
3982.0,420.0,95.0,9E,EVV,DTW,1
499.0,1135.0,130.0,UA,MCO,IAD,4
1032.0,720.0,90.0,AA,DFW,MCI,5
4187.0,390.0,85.0,MQ,DSM,ORD,1
1825.0,1110.0,106.0,US,BOS,PHL,4
367.0,505.0,195.0,AA,FLL,DFW,1
160.0,460.0,315.0,AA,SAN,JFK,3
2640.0,929.0,125.0,XE,EWR,GRR,3
103.0,375.0,131.0,F9,MSP,DEN,4
1822.0,1050.0,150.0,DL,DFW,DTW,2
676.0,960.0,190.0,CO,EWR,RSW,1
1189.0,1155.0,137.0,US,DCA,MCO,3
2807.0,515.0,140.0,WN,DEN,ONT,3
1696.0,1055.0,150.0,AA,MSY,ORD,7
2675.0,885.0,68.0,YV,LAS,LAX,4
4984.0,375.0,80.0,EV,GNV,ATL,6
6810.0,1204.0,54.0,OO,OTH,PDX,4
237.0,417.0,353.0,UA,PIT,SFO,4
913.0,470.0,100.0,WN,MSY,MCO,3
1650.0,558.0,192.0,DL,LAS,MSP,4
7088.0,1085.0,109.0,EV,ORD,CAE,3
3096.0,455.0,144.0,XE,IAH,CMH,5
1527.0,899.0,215.0,CO,BWI,IAH,3
1091.0,400.0,110.0,WN,DAL,ELP,1
5517.0,380.0,163.0,EV,ABE,ATL,3
5256.0,935.0,80.0,EV,VPS,ATL,3
2582.0,863.0,137.0,XE,ATL,EWR,6
1630.0,1040.0,85.0,WN,SJC,LAS,5
1166.0,695.0,84.0,US,CLT,PIT,6
6325.0,1035.0,86.0,OH,ORD,CVG,3
829.0,1105.0,115.0,WN,LAS,DEN,5
348.0,1135.0,125.0,AA,ORD,LGA,5
2988.0,970.0,133.0,DL,MCO,CVG,5
815.0,490.0,142.0,US,PVD,CLT,6
3840.0,855.0,120.0,MQ,ORD,ATL,4
544.0,810.0,135.0,US,PHX,DFW,3
1475.0,1230.0,138.0,US,PHL,ATL,2
6642.0,360.0,69.0,OO,RNO,SFO,7
5545.0,1295.0,75.0,EV,ATL,GNV,1
6375.0,1040.0,76.0,OH,ATL,GSO,2
5117.0,525.0,85.0,EV,ATL,FAY,1
6645.0,630.0,79.0,OH,ATW,DTW,2
3037.0,365.0,174.0,XE,CHS,IAH,6
2734.0,360.0,150.0,XE,OMA,IAH,1
1707.0,900.0,146.0,CO,TPA,IAH,3
1430.0,1035.0,79.0,US,JAX,CLT,4
269.0,15.0,205.0,CO,SFO,IAH,1
259.0,961.0,342.0,B6,FLL,LGB,7
3655.0,1195.0,95.0,WN,STL,OKC,5
3674.0,1020.0,75.0,WN,SEA,BOI,7
1826.0,1225.0,70.0,AA,DFW,ICT,2
1648.0,725.0,160.0,DL,MIA,MEM,1
877.0,550.0,160.0,FL,ATL,MSP,7
5343.0,617.0,125.0,EV,OKC,ATL,2
2801.0,735.0,55.0,WN,TPA,PBI,4
5584.0,691.0,62.0,EV,AVL,ATL,6
3932.0,485.0,95.0,MQ,SGF,ORD,5
1952.0,585.0,101.0,DL,CMH,ATL,4
340.0,370.0,125.0,AS,SEA,OAK,2
938.0,755.0,320.0,WN,BWI,PHX,7
1360.0,780.0,65.0,WN,LAS,SNA,1
7284.0,1012.0,106.0,YV,IAD,SAV,5
2529.0,455.0,160.0,WN,DEN,LAX,5
527.0,360.0,113.0,UA,ORD,BWI,4
1180.0,820.0,155.0,AA,DFW,RIC,4
3712.0,1110.0,105.0,MQ,ORD,XNA,1
2239.0,1260.0,121.0,DL,DCA,ATL,2
14.0,964.0,195.0,FL,SJU,MCO,5
3498.0,1190.0,115.0,WN,STL,BWI,7
43.0,714.0,458.0,UA,DEN,HNL,2
801.0,870.0,80.0,FL,BWI,BOS,4
674.0,910.0,311.0,B6,LAX,JFK,7
358.0,700.0,204.0,F9,DEN,TPA,3
485.0,475.0,60.0,WN,PDX,GEG,4
1487.0,515.0,130.0,AA,DCA,ORD,7
4174.0,390.0,120.0,MQ,BUF,ORD,5
1525.0,760.0,65.0,WN,LAS,BUR,2
41.0,420.0,78.0,AS,ANC,BET,2
703.0,385.0,60.0,WN,DAL,TUL,1
2367.0,385.0,177.0,XE,DAY,IAH,2
6991.0,715.0,154.0,OO,ORD,COS,3
6869.0,790.0,74.0,OO,DAY,ORD,5
2830.0,385.0,125.0,MQ,PNS,DFW,6
1782.0,1180.0,155.0,AA,MCO,JFK,3
4970.0,680.0,94.0,EV,VPS,MEM,5
3762.0,370.0,105.0,WN,MSP,STL,4
4521.0,1030.0,97.0,OO,SLC,SMF,4
5289.0,885.0,85.0,EV,ATL,JAN,4
1544.0,670.0,75.0,WN,RNO,LAS,6
1581.0,520.0,203.0,DL,TUS,ATL,7
5201.0,890.0,137.0,EV,ATL,ALB,2
1421.0,600.0,168.0,DL,DTW,TPA,3
7261.0,1186.0,74.0,YV,BUF,IAD,7
2401.0,390.0,205.0,AA,DFW,LAX,4
4988.0,600.0,74.0,EV,ATL,BNA,7
6367.0,1060.0,121.0,OH,DTW,BOS,7
1030.0,990.0,65.0,AA,DFW,XNA,4
3753.0,480.0,95.0,MQ,MSP,ORD,7
1233.0,1020.0,125.0,WN,MCO,BWI,4
5236.0,685.0,93.0,EV,VPS,MEM,3
4162.0,915.0,62.0,9E,FWA,DTW,7
6952.0,916.0,152.0,OO,DEN,PSC,4
198.0,840.0,165.0,WN,TPA,MKE,3
2159.0,1160.0,191.0,DL,JFK,MCO,7
3260.0,765.0,170.0,MQ,DAY,DFW,1
108.0,30.0,202.0,AS,ANC,SEA,6
1507.0,1095.0,190.0,AA,PBI,DFW,7
2283.0,625.0,53.0,XE,IAH,AUS,5
2022.0,1140.0,171.0,DL,MSP,BOS,3
5329.0,992.0,79.0,EV,ATL,VPS,7
4519.0,520.0,120.0,MQ,DCA,BNA,7
639.0,1020.0,233.0,US,ORD,PHX,1
33.0,537.0,157.0,UA,DEN,SNA,2
383.0,460.0,268.0,F9,FLL,DEN,7
1809.0,550.0,98.0,US,PIT,CLT,3
706.0,840.0,122.0,US,ORD,PHL,2
7110.0,1019.0,92.0,EV,IAD,PWM,5
859.0,1086.0,111.0,F9,DEN,PHX,6
1561.0,840.0,147.0,DL,PHL,ATL,4
2499.0,545.0,207.0,DL,MSP,PHX,5
409.0,1140.0,180.0,WN,RSW,MDW,5
2993.0,780.0,120.0,WN,MKE,BWI,3
1076.0,900.0,115.0,AA,STL,DCA,2
65.0,540.0,52.0,AS,KTN,WRG,7
623.0,650.0,164.0,F9,DEN,DTW,4
2117.0,560.0,86.0,XE,LIT,IAH,4
2564.0,925.0,187.0,XE,EWR,MSP,4
3047.0,940.0,85.0,OO,MKE,PIT,1
139.0,450.0,338.0,US,ANC,PHX,7
4684.0,915.0,115.0,OO,SLC,BUR,6
6652.0,735.0,88.0,OH,DTW,ATW,7
270.0,729.0,66.0,B6,BUR,LAS,6
5255.0,375.0,98.0,EV,ELM,DTW,3
1930.0,935.0,190.0,AA,MIA,BOS,5
1222.0,390.0,170.0,FL,PIT,FLL,5
6256.0,966.0,76.0,OO,ORD,CLE,2
514.0,670.0,32.0,HA,LIH,HNL,2
2706.0,525.0,114.0,XE,ABQ,IAH,2
4720.0,790.0,75.0,OO,MSP,GFK,4
3851.0,375.0,124.0,9E,XNA,MSP,1
225.0,910.0,80.0,WN,MCI,MKE,3
1847.0,1144.0,146.0,CO,MCO,CLE,7
2497.0,975.0,101.0,XE,IAH,ICT,4
2815.0,405.0,49.0,XE,LCH,IAH,5
